Product_Name,total_sales,total_profit
"Cubify CubeX 3D Printer Double Head Print",11099.96,-8879.97
"Lexmark MX611dhe Monochrome Laser Printer",16829.9,-4589.97
"Cubify CubeX 3D Printer Triple Head Print",7999.98,-3839.99
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",9917.64,-2876.12
"Bush Advantage Collection Racetrack Conference Table",9544.72,-1934.4
"GBC DocuBind P400 Electric Binding System",17965.07,-1878.17
"Cisco TelePresence System EX90 Videoconferencing Unit",22638.48,-1811.08
"Martin Yale Chadless Opener Electric Letter Opener",16656.2,-1299.18
"Balt Solid Wood Round Tables",6518.75,-1201.06
"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",1706.25,-1148.44
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18,-1147.4
"Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop",1212.7,-1057.23
"Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs",5282.42,-989.05
"O'Sullivan 4-Shelf Bookcase in Odessa Pine",2740.2,-975.1
"Bretford Just In Time Height-Adjustable Multi-Task Work Tables",5634.9,-964.19
"Zebra GK420t Direct Thermal/Thermal Transfer Printer",703.71,-938.28
"3.6 Cubic Foot Counter Height Office Refrigerator",2946.2,-872.08
"Bevis Oval Conference Table, Walnut",6942.07,-856.01
"Tennsco Single-Tier Lockers",9158.3,-825.75
"BPI Conference Tables",2241.87,-795.97
"StarTech.com 10/100 VDSL2 Ethernet Extender Kit",2330.65,-785.76
"O'Sullivan Plantations 2-Door Library in Landvery Oak",2946.37,-767.74
"O'Sullivan Living Dimensions 5-Shelf Bookcases",3420.77,-755.75
"Hon 94000 Series Round Tables",7404.5,-681.21
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,-669.54
"SAFCO Commercial Wire Shelving, Black",4199.46,-635.44
"Bestar Classic Bookcase",1897.81,-612.94
"Chromcraft Bull-Nose Wood 48" x 96" Rectangular Conference Tables",4297.64,-611.59
"Hon Racetrack Conference Tables",3963.9,-598.52
"Bevis Rectangular Conference Tables",1007.26,-586.84
"Bretford CR4500 Series Slim Rectangular Table",7242.77,-532.76
"Tenex Antistatic Computer Chair Mats",3317.01,-530.04
"Tenex Chairmat w/ Average Lip, 45" x 53"",2058.5,-529.76
"Bevis Round Conference Table Top, X-Base",2671.42,-519.94
"Lexmark MarkNet N8150 Wireless Print Server",723.51,-506.46
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.88,-503.12
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.54,-491.17
"KI Conference Tables",2140.88,-479.22
"Global High-Back Leather Tilter, Burgundy",5436.16,-474.74
"SAFCO Boltless Steel Shelving",4704.7,-470.47
"3D Systems Cube Printer, 2nd Generation, White",2339.98,-468
"GBC ProClick 150 Presentation Binding System",3223,-461.33
"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs",2032.35,-460.67
"Bevis Traditional Conference Table Top, Plinth Base",2033.5,-456.7
"Chromcraft Rectangular Conference Tables",4952.67,-450.24
"Swingline SM12-08 MicroCut Jam Free Shredder",2359.94,-447.99
"Bevis Boat-Shaped Conference Table",2542.47,-445.59
"Novimex Swivel Fabric Task Chair",2913.91,-445.39
"Okidata MB491 Multifunction Printer",2844.3,-434.13
